Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,43,43,26.8,4.5,7.5,.599,0.0,0.0,.000,4.5,7.5,.601,.599,1.9,3.3,.579,3.4,6.0,9.3,2.6,0.7,1.1,1.4,1.8,10.9
2,Bam Adebayo\adebaba01,PF,22,MIA,47,47,34.5,6.1,10.4,.589,0.0,0.2,.091,6.1,10.2,.600,.590,3.6,5.3,.692,2.5,7.9,10.4,4.7,1.2,1.1,2.8,2.5,16.0
3,LaMarcus Aldridge\aldrila01,C,34,SAS,43,43,33.2,7.4,14.6,.510,1.2,2.8,.429,6.3,11.8,.528,.550,3.0,3.6,.845,2.0,5.5,7.5,2.3,0.6,1.7,1.4,2.5,19.1
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,38,0,12.8,2.0,5.8,.347,1.1,3.1,.345,1.0,2.8,.349,.437,0.4,0.7,.607,0.2,1.8,2.0,1.9,0.3,0.2,0.9,1.1,5.6
5,Grayson Allen\allengr01,SG,24,MEM,30,0,16.6,2.6,5.9,.449,1.1,3.0,.363,1.5,2.8,.541,.543,1.0,1.2,.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4
6,Jarrett Allen\allenja01,C,21,BRK,46,42,27.2,4.4,6.9,.642,0.0,0.1,.000,4.4,6.8,.651,.642,2.5,4.0,.639,3.1,6.6,9.7,1.2,0.7,1.5,1.2,2.5,11.4
7,Kadeem Allen\allenka01,SG,27,NYK,9,0,10.7,1.9,4.7,.405,0.6,1.8,.313,1.3,2.9,.462,.464,0.6,0.9,.625,0.2,0.7,0.9,2.1,0.4,0.2,0.9,0.8,4.9
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
9,Justin Anderson\anderju01,SF,26,BRK,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
10,Kyle Anderson\anderky01,PF,26,MEM,42,5,17.1,2.0,4.2,.472,0.2,0.9,.194,1.8,3.4,.542,.492,0.7,1.1,.667,0.9,3.0,3.9,2.1,0.7,0.5,0.8,1.4,4.9
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,43,43,30.7,11.1,19.9,.557,1.6,5.0,.321,9.5,14.9,.637,.598,6.2,10.2,.606,2.3,10.6,12.9,5.6,1.1,1.0,3.6,3.2,30.0
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,14,0,4.0,0.8,1.4,.550,0.0,0.1,.000,0.8,1.3,.611,.550,0.3,0.6,.500,0.4,0.1,0.5,0.4,0.1,0.1,0.4,0.5,1.9
15,Carmelo Anthony\anthoca01,PF,35,POR,33,33,32.5,6.1,14.1,.429,1.4,3.8,.370,4.6,10.3,.451,.480,2.3,2.7,.833,1.2,5.4,6.7,1.6,0.9,0.5,1.8,3.1,15.8
16,OG Anunoby\anunoog01,SF,22,TOR,46,45,29.2,4.2,8.6,.490,1.3,3.6,.365,2.9,4.9,.581,.567,0.8,1.2,.673,1.1,4.4,5.5,1.7,1.1,0.7,1.2,2.5,10.5
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,46,0,14.4,1.3,3.3,.388,0.8,2.0,.391,0.5,1.3,.383,.507,0.4,0.6,.731,0.3,1.3,1.6,1.5,0.4,0.1,0.5,1.6,3.8
18,Trevor Ariza\arizatr01,SF,34,TOT,35,3,25.6,2.4,5.6,.421,1.5,3.9,.370,0.9,1.7,.542,.551,0.7,0.9,.774,0.7,3.9,4.6,1.5,1.1,0.2,0.9,2.1,6.9
18,Trevor Ariza\arizatr01,SF,34,SAC,32,0,24.7,2.0,5.2,.388,1.3,3.8,.352,0.7,1.3,.488,.518,0.7,0.8,.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
18,Trevor Ariza\arizatr01,SF,34,POR,3,3,35.3,6.3,10.7,.594,2.7,5.3,.500,3.7,5.3,.688,.719,1.0,1.3,.750,0.7,4.3,5.0,1.3,1.3,0.0,1.3,3.0,16.3
19,D.J. Augustin\augusdj01,PG,32,ORL,39,6,26.0,3.3,8.4,.393,1.2,3.5,.346,2.1,4.9,.426,.465,2.9,3.3,.877,0.4,2.1,2.4,4.7,0.7,0.0,1.4,1.1,10.7
20,Deandre Ayton\aytonde01,C,21,PHO,17,12,32.3,7.8,14.5,.538,0.0,0.1,.000,7.8,14.5,.541,.538,2.2,2.7,.826,3.6,8.2,11.9,1.9,0.8,1.4,1.6,3.1,17.9
21,Dwayne Bacon\bacondw01,SG,24,CHO,36,10,17.9,2.4,6.6,.359,0.5,1.8,.288,1.8,4.8,.386,.399,0.9,1.4,.647,0.4,2.1,2.4,1.4,0.6,0.1,0.9,1.4,6.2
22,Marvin Bagley\baglema01,PF,20,SAC,13,6,25.7,6.0,12.8,.467,0.3,1.7,.182,5.7,11.2,.510,.479,1.9,2.4,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
