Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Milwaukee Bucks,41-6,22-2,19-4,26-3,15-3,6-2,11-0,9-1,6-1,5-0,4-2,41-6,0-0,2-1,26-3,2-2,15-1,13-2,11-1,0-0,0-0,0-0
2,Los Angeles Lakers,36-10,16-5,20-5,13-6,23-4,3-3,3-2,7-1,9-1,4-2,10-1,36-10,0-0,4-2,18-5,3-1,14-1,9-5,10-3,0-0,0-0,0-0
3,Los Angeles Clippers,33-14,19-4,14-10,14-4,19-10,4-0,3-3,7-1,5-4,6-1,8-5,33-14,0-0,7-1,20-6,4-2,10-4,10-5,9-3,0-0,0-0,0-0
4,Toronto Raptors,33-14,17-7,16-7,23-7,10-7,7-3,6-2,10-2,4-2,2-2,4-3,33-14,0-0,4-3,16-6,4-1,10-3,9-7,10-3,0-0,0-0,0-0
5,Denver Nuggets,32-15,18-6,14-9,12-7,20-8,5-3,1-2,6-2,6-0,8-2,6-6,32-15,0-0,6-3,10-6,3-2,10-2,10-6,9-5,0-0,0-0,0-0
6,Miami Heat,32-15,21-3,11-12,21-7,11-8,6-5,8-0,7-2,3-2,3-3,5-3,32-15,0-0,4-2,15-6,4-1,9-4,11-4,8-6,0-0,0-0,0-0
7,Utah Jazz,32-15,18-4,14-11,14-5,18-10,4-2,4-2,6-1,4-2,9-4,5-4,32-15,0-0,4-3,15-6,4-1,8-6,9-5,11-3,0-0,0-0,0-0
8,Boston Celtics,31-15,18-5,13-10,21-9,10-6,6-5,7-3,8-1,1-1,4-3,5-2,31-15,0-0,3-2,20-6,3-1,10-4,10-3,8-7,0-0,0-0,0-0
9,Indiana Pacers,31-17,18-5,13-12,19-11,12-6,7-1,5-6,7-4,6-3,4-1,2-2,31-17,0-0,4-4,16-8,1-3,11-4,10-5,9-5,0-0,0-0,0-0
10,Philadelphia 76ers,31-17,22-2,9-15,21-10,10-7,9-3,8-2,4-5,5-3,3-1,2-3,31-17,0-0,5-4,14-7,4-0,10-6,9-7,8-4,0-0,0-0,0-0
11,Dallas Mavericks,29-18,13-12,16-6,11-7,18-11,4-5,5-0,2-2,5-4,6-7,7-0,29-18,0-0,2-6,15-5,3-1,9-5,9-6,8-6,0-0,0-0,0-0
12,Houston Rockets,29-18,15-7,14-11,11-4,18-14,3-1,3-2,5-1,8-6,6-4,4-4,29-18,0-0,3-3,13-9,3-1,10-5,10-5,6-7,0-0,0-0,0-0
13,Oklahoma City Thunder,29-20,15-10,14-10,9-7,20-13,3-2,2-3,4-2,6-4,6-5,8-4,29-20,0-0,5-5,12-6,1-4,6-7,11-4,11-5,0-0,0-0,0-0
14,Memphis Grizzlies,24-24,14-13,10-11,8-9,16-15,2-1,2-6,4-2,6-5,7-6,3-4,24-24,0-0,3-2,10-13,1-3,4-10,8-8,11-3,0-0,0-0,0-0
15,Orlando Magic,21-27,13-11,8-16,14-13,7-14,4-4,4-6,6-3,0-7,4-5,3-2,21-27,0-0,4-1,11-12,2-2,5-9,7-8,7-8,0-0,0-0,0-0
16,Portland Trail Blazers,21-27,12-11,9-16,9-8,12-19,2-4,3-3,4-1,3-6,5-7,4-6,21-27,0-0,5-2,12-11,3-2,5-10,6-8,7-7,0-0,0-0,0-0
17,San Antonio Spurs,21-26,13-12,8-14,9-12,12-14,5-3,2-4,2-5,3-4,6-5,3-5,21-26,0-0,7-4,7-8,3-1,4-12,7-5,7-8,0-0,0-0,0-0
18,Brooklyn Nets,20-26,12-12,8-14,14-14,6-12,4-7,4-4,6-3,2-6,1-2,3-4,20-26,0-0,3-3,9-15,1-3,9-6,6-7,4-10,0-0,0-0,0-0
19,Phoenix Suns,20-27,9-16,11-11,9-6,11-21,5-1,0-1,4-4,3-6,4-6,4-9,20-27,0-0,2-7,7-11,3-2,5-8,5-10,7-7,0-0,0-0,0-0
20,Chicago Bulls,19-31,11-15,8-16,13-20,6-11,1-7,6-8,6-5,1-4,2-4,3-3,19-31,0-0,5-4,7-14,1-4,5-10,7-7,6-10,0-0,0-0,0-0
21,New Orleans Pelicans,19-29,9-15,10-14,7-10,12-19,2-6,4-2,1-2,6-6,4-7,2-6,19-29,0-0,2-5,10-12,1-4,5-9,5-10,8-6,0-0,0-0,0-0
22,Detroit Pistons,17-32,9-16,8-16,12-24,5-8,3-7,5-9,4-8,0-2,2-2,3-4,17-32,0-0,3-4,9-19,2-3,4-10,6-9,5-10,0-0,0-0,0-0
23,Sacramento Kings,17-30,8-14,9-16,5-13,12-17,2-5,1-4,2-4,5-8,4-4,3-5,17-30,0-0,5-8,6-11,0-5,8-5,4-12,5-8,0-0,0-0,0-0
24,Charlotte Hornets,16-31,8-15,8-16,11-18,5-13,3-8,7-6,1-4,0-6,4-4,1-3,16-31,0-0,8-6,2-18,2-3,6-10,5-10,3-8,0-0,0-0,0-0
25,Minnesota Timberwolves,15-32,6-18,9-14,8-9,7-23,2-2,2-6,4-1,2-9,3-6,2-8,15-32,0-0,2-4,9-12,3-1,7-7,2-12,3-12,0-0,0-0,0-0
26,Washington Wizards,15-31,9-11,6-20,10-19,5-12,3-5,4-6,3-8,3-4,1-4,1-4,15-31,0-0,0-3,8-17,1-3,5-8,4-11,5-9,0-0,0-0,0-0
27,Cleveland Cavaliers,13-35,6-18,7-17,8-26,5-9,1-11,4-8,3-7,3-2,0-2,2-5,13-35,0-0,3-5,4-23,2-2,3-12,5-9,3-12,0-0,0-0,0-0
28,New York Knicks,13-36,7-18,6-18,8-22,5-14,2-10,3-7,3-5,1-4,2-6,2-4,13-36,0-0,4-6,6-18,1-4,3-11,5-9,4-12,0-0,0-0,0-0
29,Atlanta Hawks,12-36,7-16,5-20,6-24,6-12,0-9,2-11,4-4,1-5,3-5,2-2,12-36,0-0,1-5,5-23,2-3,2-13,3-11,5-9,0-0,0-0,0-0
30,Golden State Warriors,10-38,7-17,3-21,3-11,7-27,0-3,2-3,1-5,2-12,1-6,4-9,10-38,0-0,1-3,5-21,1-3,3-13,5-10,1-12,0-0,0-0,0-0
